2023-06-07 16:47:24.848 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-auth.yml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-auth,DEFAULT_GROUP'}]
2023-06-07 16:47:25.880 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-07 16:47:25.885 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-07 16:47:25.922 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-06-07 16:47:27.640 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8001 (http)
2023-06-07 16:47:27.818 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2913 ms
2023-06-07 16:47:29.049 [main] INFO  [o.s.b.a.logging.ConditionEvaluationReportLogger] - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-06-07 16:49:13.369 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-auth.yml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-auth,DEFAULT_GROUP'}]
2023-06-07 16:49:14.478 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-07 16:49:14.488 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-07 16:49:14.523 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2023-06-07 16:49:16.106 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8001 (http)
2023-06-07 16:49:16.282 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2849 ms
2023-06-07 16:49:17.456 [main] INFO  [o.s.b.a.logging.ConditionEvaluationReportLogger] - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2023-06-07 17:07:56.441 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-auth.yml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-auth,DEFAULT_GROUP'}]
